Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
Jun2013_L227_06m	raw	27345623.0	10992940446	27345623.0	10992940446	0	0	2019-08-23-19:22:46
Jun2013_L227_06m	deduplicated	27268261.0	10961840922	27268261.0	10961840922	0	0	2019-08-24-12:41:45
Jun2013_L227_06m	filtered	27226270.0	9121072962	27136026.0	9105832426	90244	15240536	2019-08-24-13:48:16
Jun2013_L227_06m	clean	26982192.0	9044973510	26982192.0	9044973510	0	0	2019-09-01-20:02:11
Jun2013_L227_06m	QC	27071961.0	9060126104	26982192.0	9044973510	89769	15152594	2019-09-01-20:02:19
Jun2016_L227_08m	raw	49101001.0	14828502302	49101001.0	14828502302	0	0	2019-08-23-19:05:36
Jun2016_L227_08m	deduplicated	44680941.0	13493644182	44680941.0	13493644182	0	0	2019-08-24-05:20:09
Jun2016_L227_08m	filtered	44169599.0	12511586558	43668230.0	12443611810	501369	67974748	2019-08-24-10:17:48
Jun2016_L227_08m	clean	43668115.0	12443584718	43668115.0	12443584718	0	0	2019-08-26-01:03:26
Jun2016_L227_08m	QC	44169478.0	12511558647	43668115.0	12443584718	501363	67973929	2019-08-26-01:03:39
Jun2011_L442_16_5m	raw	31002849.0	12463145298	31002849.0	12463145298	0	0	2019-08-23-19:18:47
Jun2011_L442_16_5m	deduplicated	30912377.0	12426775554	30912377.0	12426775554	0	0	2019-08-24-10:26:57
Jun2011_L442_16_5m	filtered	30878816.0	11326590633	30696901.0	11292953624	181915	33637009	2019-08-24-11:54:24
Jun2011_L442_16_5m	clean	30549160.0	11234638461	30549160.0	11234638461	0	0	2019-08-29-20:08:04
Jun2011_L442_16_5m	QC	30730681.0	11268203166	30549160.0	11234638461	181521	33564705	2019-08-29-20:08:14
Sep2017_L227_10m	raw	37635848.0	15151620595	37635848.0	15151620595	0	0	2019-08-23-19:02:58
Sep2017_L227_10m	deduplicated	37555799.0	15118998090	37555799.0	15118998090	0	0	2019-08-24-04:35:20
Sep2017_L227_10m	filtered	37527824.0	14436136082	37405757.0	14412379555	122067	23756527	2019-08-24-06:50:37
Sep2017_L227_10m	clean	37405656.0	14412340034	37405656.0	14412340034	0	0	2019-08-25-14:41:12
Sep2017_L227_10m	QC	37527722.0	14436096360	37405656.0	14412340034	122066	23756326	2019-08-25-14:41:29
Jul2018_L304_06m	raw	41309440.0	16683959044	41309440.0	16683959044	0	0	2019-08-23-18:54:53
Jul2018_L304_06m	deduplicated	41213787.0	16645139207	41213787.0	16645139207	0	0	2019-08-24-03:05:32
Jul2018_L304_06m	filtered	41177573.0	15734613847	41055833.0	15710709575	121740	23904272	2019-08-24-04:58:39
Jul2018_L304_06m	clean	41055761.0	15710680153	41055761.0	15710680153	0	0	2019-08-25-09:05:42
Jul2018_L304_06m	QC	41177501.0	15734584425	41055761.0	15710680153	121740	23904272	2019-08-25-09:05:57
Sep2017_L227_04m	raw	38608272.0	15488492199	38608272.0	15488492199	0	0	2019-08-23-18:59:34
Sep2017_L227_04m	deduplicated	38528908.0	15456538570	38528908.0	15456538570	0	0	2019-08-24-04:03:50
Sep2017_L227_04m	filtered	38370235.0	14402927141	38096354.0	14351776160	273881	51150981	2019-08-24-07:51:33
Sep2017_L227_04m	clean	38096299.0	14351755221	38096299.0	14351755221	0	0	2019-08-26-02:20:57
Sep2017_L227_04m	QC	38370179.0	14402906001	38096299.0	14351755221	273880	51150780	2019-08-26-02:21:11
Jul2014_L227_06m	raw	39489239.0	15874674078	39489239.0	15874674078	0	0	2019-08-23-19:13:33
Jul2014_L227_06m	deduplicated	39380314.0	15830886228	39380314.0	15830886228	0	0	2019-08-24-07:11:05
Jul2014_L227_06m	filtered	39282447.0	13305293305	39114574.0	13276723860	167873	28569445	2019-08-24-10:07:12
Jul2014_L227_06m	clean	38938076.0	13207079767	38938076.0	13207079767	0	0	2019-08-29-06:17:02
Jul2014_L227_06m	QC	39105401.0	13235546048	38938076.0	13207079767	167325	28466281	2019-08-29-06:17:13
Jul2014_L227_08m	raw	26300355.0	10572742710	26300355.0	10572742710	0	0	2019-08-23-19:22:47
Jul2014_L227_08m	deduplicated	26230158.0	10544523516	26230158.0	10544523516	0	0	2019-08-24-13:05:49
Jul2014_L227_08m	filtered	26145917.0	8663303161	26043874.0	8646168024	102043	17135137	2019-08-24-13:34:42
Jul2014_L227_08m	clean	25881133.0	8581743942	25881133.0	8581743942	0	0	2019-09-01-19:21:12
Jul2014_L227_08m	QC	25982754.0	8598799811	25881133.0	8581743942	101621	17055869	2019-09-01-19:21:20
Jun2013_L227_08m	raw	27337828.0	10989806856	27337828.0	10989806856	0	0	2019-08-23-19:21:13
Jun2013_L227_08m	deduplicated	27262835.0	10959659670	27262835.0	10959659670	0	0	2019-08-24-12:17:16
Jun2013_L227_08m	filtered	27216898.0	9492400234	27091712.0	9470164945	125186	22235289	2019-08-24-13:27:17
Jun2013_L227_08m	clean	26955304.0	9416226105	26955304.0	9416226105	0	0	2019-09-01-00:33:07
Jun2013_L227_08m	QC	27080098.0	9438388563	26955304.0	9416226105	124794	22162458	2019-09-01-00:33:16
Sep2017_L227_06m	raw	64099244.0	25714977442	64099244.0	25714977442	0	0	2019-08-23-18:36:37
Sep2017_L227_06m	deduplicated	63936219.0	25649161800	63936219.0	25649161800	0	0	2019-08-23-23:48:13
Sep2017_L227_06m	filtered	63850554.0	24322606557	63634585.0	24281052605	215969	41553952	2019-08-24-00:51:26
Sep2017_L227_06m	clean	63634418.0	24280988850	63634418.0	24280988850	0	0	2019-08-24-14:20:14
Sep2017_L227_06m	QC	63850386.0	24322542688	63634418.0	24280988850	215968	41553838	2019-08-24-14:20:37
