Lake	pscA / rpoB (%)	fmoA / rpoB (%)
L239	0.0	0.0
L224	0.0	0.0
L373	0.0	0.0
L442	0.0	0.0
L626	0.0	0.045541394154757255
L227	0.021809126098648157	0.03136096375485856
L222	0.05836276028748896	0.0466276208194952
L304	0.12869632883080337	0.22768975905999206
L221	1.760774873985805	1.9496807338965156
