"CAUR.SPC"
WL/nm,Abs
716.00,0.285
715.00,0.271
714.00,0.259
713.00,0.248
712.00,0.237
711.00,0.227
710.00,0.218
709.00,0.209
708.00,0.201
707.00,0.194
706.00,0.187
705.00,0.181
704.00,0.176
703.00,0.171
702.00,0.166
701.00,0.162
700.00,0.158
699.00,0.154
698.00,0.151
697.00,0.148
696.00,0.145
695.00,0.143
694.00,0.141
693.00,0.139
692.00,0.137
691.00,0.136
690.00,0.135
689.00,0.134
688.00,0.132
687.00,0.131
686.00,0.130
685.00,0.130
684.00,0.128
683.00,0.127
682.00,0.127
681.00,0.126
680.00,0.125
679.00,0.124
678.00,0.123
677.00,0.122
676.00,0.120
675.00,0.119
674.00,0.118
673.00,0.116
672.00,0.115
671.00,0.113
670.00,0.111
669.00,0.109
668.00,0.107
667.00,0.105
666.00,0.103
665.00,0.101
664.00,0.100
663.00,0.098
662.00,0.097
661.00,0.095
660.00,0.094
659.00,0.092
658.00,0.091
657.00,0.090
656.00,0.089
655.00,0.089
654.00,0.088
653.00,0.087
652.00,0.086
651.00,0.086
650.00,0.085
649.00,0.085
648.00,0.084
647.00,0.084
646.00,0.083
645.00,0.083
644.00,0.082
643.00,0.082
642.00,0.081
641.00,0.081
640.00,0.080
639.00,0.080
638.00,0.079
637.00,0.079
636.00,0.078
635.00,0.078
634.00,0.077
633.00,0.077
632.00,0.076
631.00,0.076
630.00,0.075
629.00,0.075
628.00,0.074
627.00,0.073
626.00,0.073
625.00,0.072
624.00,0.072
623.00,0.072
622.00,0.071
621.00,0.071
620.00,0.070
619.00,0.070
618.00,0.069
617.00,0.069
616.00,0.069
615.00,0.068
614.00,0.068
613.00,0.068
612.00,0.067
611.00,0.067
610.00,0.067
609.00,0.066
608.00,0.066
607.00,0.066
606.00,0.065
605.00,0.065
604.00,0.065
603.00,0.064
602.00,0.064
601.00,0.064
600.00,0.063
599.00,0.063
598.00,0.063
597.00,0.063
596.00,0.062
595.00,0.062
594.00,0.062
593.00,0.062
592.00,0.062
591.00,0.062
590.00,0.061
589.00,0.061
588.00,0.061
587.00,0.060
586.00,0.060
585.00,0.060
584.00,0.060
583.00,0.059
582.00,0.059
581.00,0.059
580.00,0.059
579.00,0.059
578.00,0.059
577.00,0.059
576.00,0.059
575.00,0.059
574.00,0.059
573.00,0.060
572.00,0.060
571.00,0.060
570.00,0.061
569.00,0.061
568.00,0.061
567.00,0.062
566.00,0.062
565.00,0.063
564.00,0.064
563.00,0.064
562.00,0.065
561.00,0.066
560.00,0.067
559.00,0.068
558.00,0.069
557.00,0.069
556.00,0.071
555.00,0.072
554.00,0.073
553.00,0.075
552.00,0.076
551.00,0.078
550.00,0.080
549.00,0.082
548.00,0.084
547.00,0.087
546.00,0.090
545.00,0.092
544.00,0.096
543.00,0.099
542.00,0.102
541.00,0.106
540.00,0.111
539.00,0.115
538.00,0.120
537.00,0.125
536.00,0.130
535.00,0.135
534.00,0.141
533.00,0.147
532.00,0.153
531.00,0.159
530.00,0.166
529.00,0.173
528.00,0.180
527.00,0.187
526.00,0.193
525.00,0.200
524.00,0.207
523.00,0.214
522.00,0.221
521.00,0.228
520.00,0.234
519.00,0.241
518.00,0.247
517.00,0.252
516.00,0.258
515.00,0.263
514.00,0.267
513.00,0.272
512.00,0.276
511.00,0.280
510.00,0.283
509.00,0.286
508.00,0.289
507.00,0.291
506.00,0.294
505.00,0.296
504.00,0.299
503.00,0.301
502.00,0.303
501.00,0.306
500.00,0.309
499.00,0.312
498.00,0.315
497.00,0.319
496.00,0.323
495.00,0.327
494.00,0.332
493.00,0.337
492.00,0.343
491.00,0.349
490.00,0.356
489.00,0.363
488.00,0.370
487.00,0.378
486.00,0.386
485.00,0.395
484.00,0.404
483.00,0.413
482.00,0.423
481.00,0.434
480.00,0.444
479.00,0.455
478.00,0.467
477.00,0.479
476.00,0.492
475.00,0.505
474.00,0.519
473.00,0.532
472.00,0.546
471.00,0.560
470.00,0.573
469.00,0.586
468.00,0.599
467.00,0.610
466.00,0.620
465.00,0.628
464.00,0.634
463.00,0.638
462.00,0.640
461.00,0.639
460.00,0.637
459.00,0.632
458.00,0.626
457.00,0.618
456.00,0.609
455.00,0.599
454.00,0.590
453.00,0.581
452.00,0.571
451.00,0.563
450.00,0.555
449.00,0.548
448.00,0.541
447.00,0.536
446.00,0.530
445.00,0.526
444.00,0.522
443.00,0.518
442.00,0.514
441.00,0.511
440.00,0.508
439.00,0.505
438.00,0.502
437.00,0.499
436.00,0.496
435.00,0.493
434.00,0.490
433.00,0.486
432.00,0.483
431.00,0.480
430.00,0.477
429.00,0.474
428.00,0.471
427.00,0.468
426.00,0.465
425.00,0.462
424.00,0.460
423.00,0.457
422.00,0.454
421.00,0.451
420.00,0.447
419.00,0.444
418.00,0.440
417.00,0.436
416.00,0.432
415.00,0.428
414.00,0.424
413.00,0.420
412.00,0.415
411.00,0.411
410.00,0.407
409.00,0.402
408.00,0.398
407.00,0.393
406.00,0.388
405.00,0.383
404.00,0.378
403.00,0.373
402.00,0.368
401.00,0.363
400.00,0.357
399.00,0.352
398.00,0.346
397.00,0.340
396.00,0.334
395.00,0.328
394.00,0.323
393.00,0.317
392.00,0.311
391.00,0.305
390.00,0.299
389.00,0.293
388.00,0.288
387.00,0.283
386.00,0.278
385.00,0.273
384.00,0.269
383.00,0.265
382.00,0.261
381.00,0.258
380.00,0.255
379.00,0.252
378.00,0.249
377.00,0.247
376.00,0.245
375.00,0.243
374.00,0.241
373.00,0.239
372.00,0.237
371.00,0.236
370.00,0.234
369.00,0.233
368.00,0.232
367.00,0.230
366.00,0.229
365.00,0.228
364.00,0.227
363.00,0.226
362.00,0.225
361.00,0.225
360.00,0.225
359.00,0.224
358.00,0.224
357.00,0.224
356.00,0.225
355.00,0.225
354.00,0.226
353.00,0.228
352.00,0.229
351.00,0.231
350.00,0.232
349.00,0.235
348.00,0.237
347.00,0.239
346.00,0.242
345.00,0.245
344.00,0.247
343.00,0.251
342.00,0.254
341.00,0.257
340.00,0.260
339.00,0.263
338.00,0.266
337.00,0.269
336.00,0.272
335.00,0.275
334.00,0.278
333.00,0.281
332.00,0.283
331.00,0.286
330.00,0.288
329.00,0.290
328.00,0.292
327.00,0.293
326.00,0.293
325.00,0.292
324.00,0.291
323.00,0.289
322.00,0.287
321.00,0.283
320.00,0.280
319.00,0.275
318.00,0.271
317.00,0.266
316.00,0.262
315.00,0.257
314.00,0.253
313.00,0.249
312.00,0.245
311.00,0.242
310.00,0.239
309.00,0.236
308.00,0.234
307.00,0.232
306.00,0.231
305.00,0.231
304.00,0.231
303.00,0.232
302.00,0.234
301.00,0.236
300.00,0.238
299.00,0.242
298.00,0.247
297.00,0.252
296.00,0.258
295.00,0.265
294.00,0.273
293.00,0.283
292.00,0.292
291.00,0.301
290.00,0.308
289.00,0.314
288.00,0.322
287.00,0.330
286.00,0.340
285.00,0.348
284.00,0.356
283.00,0.363
282.00,0.370
281.00,0.377
280.00,0.384
279.00,0.391
278.00,0.398
277.00,0.405
276.00,0.412
275.00,0.418
274.00,0.424
273.00,0.430
272.00,0.435
271.00,0.439
270.00,0.443
269.00,0.446
268.00,0.449
267.00,0.452
266.00,0.455
265.00,0.458
264.00,0.460
263.00,0.461
262.00,0.462
261.00,0.463
260.00,0.463
259.00,0.462
258.00,0.461
257.00,0.459
256.00,0.457
255.00,0.455
254.00,0.453
253.00,0.451
252.00,0.448
251.00,0.445
250.00,0.442
249.00,0.438
248.00,0.436
247.00,0.433
246.00,0.432
245.00,0.431
244.00,0.432
243.00,0.435
242.00,0.440
241.00,0.447
240.00,0.458
239.00,0.473
238.00,0.492
237.00,0.516
236.00,0.546
235.00,0.580
234.00,0.620
233.00,0.664
232.00,0.713
231.00,0.762
230.00,0.812
229.00,0.860
228.00,0.906
227.00,0.949
226.00,0.992
225.00,1.033
224.00,1.074
223.00,1.115
222.00,1.159
221.00,1.203
220.00,1.249
219.00,1.296
218.00,1.348
217.00,1.401
216.00,1.459
215.00,1.518
214.00,1.575
213.00,1.633
212.00,1.683
211.00,1.725
210.00,1.753
209.00,1.764
208.00,1.745
207.00,1.693
206.00,1.608
205.00,1.501
204.00,1.362
203.00,1.214
202.00,1.040
201.00,0.855
200.00,0.669
199.00,0.491
198.00,0.355
197.00,0.272
196.00,0.208
195.00,0.191
194.00,0.176
193.00,0.186
192.00,0.242
191.00,0.225
190.00,0.227
