"CHX_W.SPC"
WL/nm,Abs
716.00,0.564
715.00,0.564
714.00,0.564
713.00,0.564
712.00,0.563
711.00,0.563
710.00,0.563
709.00,0.563
708.00,0.563
707.00,0.563
706.00,0.563
705.00,0.563
704.00,0.563
703.00,0.563
702.00,0.563
701.00,0.563
700.00,0.563
699.00,0.563
698.00,0.563
697.00,0.563
696.00,0.563
695.00,0.564
694.00,0.564
693.00,0.564
692.00,0.565
691.00,0.565
690.00,0.566
689.00,0.566
688.00,0.567
687.00,0.567
686.00,0.567
685.00,0.568
684.00,0.568
683.00,0.569
682.00,0.569
681.00,0.570
680.00,0.570
679.00,0.571
678.00,0.571
677.00,0.571
676.00,0.572
675.00,0.572
674.00,0.573
673.00,0.573
672.00,0.573
671.00,0.574
670.00,0.574
669.00,0.575
668.00,0.575
667.00,0.575
666.00,0.576
665.00,0.576
664.00,0.576
663.00,0.577
662.00,0.577
661.00,0.577
660.00,0.577
659.00,0.578
658.00,0.578
657.00,0.578
656.00,0.578
655.00,0.579
654.00,0.579
653.00,0.580
652.00,0.580
651.00,0.581
650.00,0.581
649.00,0.582
648.00,0.582
647.00,0.583
646.00,0.583
645.00,0.584
644.00,0.584
643.00,0.584
642.00,0.585
641.00,0.586
640.00,0.586
639.00,0.587
638.00,0.587
637.00,0.588
636.00,0.589
635.00,0.589
634.00,0.590
633.00,0.590
632.00,0.591
631.00,0.591
630.00,0.592
629.00,0.592
628.00,0.592
627.00,0.593
626.00,0.593
625.00,0.594
624.00,0.594
623.00,0.595
622.00,0.595
621.00,0.595
620.00,0.596
619.00,0.596
618.00,0.597
617.00,0.597
616.00,0.598
615.00,0.598
614.00,0.599
613.00,0.600
612.00,0.600
611.00,0.601
610.00,0.601
609.00,0.601
608.00,0.602
607.00,0.603
606.00,0.603
605.00,0.604
604.00,0.604
603.00,0.605
602.00,0.606
601.00,0.606
600.00,0.607
599.00,0.608
598.00,0.608
597.00,0.609
596.00,0.610
595.00,0.610
594.00,0.611
593.00,0.611
592.00,0.612
591.00,0.613
590.00,0.613
589.00,0.614
588.00,0.615
587.00,0.615
586.00,0.616
585.00,0.617
584.00,0.617
583.00,0.618
582.00,0.618
581.00,0.619
580.00,0.620
579.00,0.620
578.00,0.621
577.00,0.622
576.00,0.622
575.00,0.623
574.00,0.624
573.00,0.624
572.00,0.625
571.00,0.626
570.00,0.626
569.00,0.627
568.00,0.628
567.00,0.628
566.00,0.629
565.00,0.630
564.00,0.631
563.00,0.631
562.00,0.632
561.00,0.633
560.00,0.633
559.00,0.634
558.00,0.635
557.00,0.635
556.00,0.636
555.00,0.637
554.00,0.637
553.00,0.638
552.00,0.639
551.00,0.640
550.00,0.641
549.00,0.642
548.00,0.642
547.00,0.643
546.00,0.644
545.00,0.645
544.00,0.646
543.00,0.647
542.00,0.648
541.00,0.649
540.00,0.650
539.00,0.650
538.00,0.651
537.00,0.652
536.00,0.653
535.00,0.653
534.00,0.654
533.00,0.655
532.00,0.656
531.00,0.657
530.00,0.658
529.00,0.660
528.00,0.660
527.00,0.662
526.00,0.663
525.00,0.663
524.00,0.664
523.00,0.665
522.00,0.666
521.00,0.667
520.00,0.668
519.00,0.669
518.00,0.670
517.00,0.671
516.00,0.672
515.00,0.673
514.00,0.674
513.00,0.675
512.00,0.676
511.00,0.677
510.00,0.678
509.00,0.679
508.00,0.679
507.00,0.680
506.00,0.681
505.00,0.682
504.00,0.683
503.00,0.684
502.00,0.685
501.00,0.686
500.00,0.687
499.00,0.688
498.00,0.689
497.00,0.691
496.00,0.692
495.00,0.693
494.00,0.694
493.00,0.696
492.00,0.697
491.00,0.698
490.00,0.700
489.00,0.701
488.00,0.702
487.00,0.704
486.00,0.705
485.00,0.707
484.00,0.708
483.00,0.710
482.00,0.711
481.00,0.713
480.00,0.715
479.00,0.716
478.00,0.718
477.00,0.720
476.00,0.721
475.00,0.723
474.00,0.725
473.00,0.727
472.00,0.729
471.00,0.731
470.00,0.733
469.00,0.735
468.00,0.737
467.00,0.739
466.00,0.740
465.00,0.742
464.00,0.744
463.00,0.745
462.00,0.747
461.00,0.748
460.00,0.749
459.00,0.750
458.00,0.752
457.00,0.753
456.00,0.753
455.00,0.754
454.00,0.755
453.00,0.756
452.00,0.756
451.00,0.756
450.00,0.757
449.00,0.758
448.00,0.758
447.00,0.759
446.00,0.760
445.00,0.760
444.00,0.761
443.00,0.762
442.00,0.763
441.00,0.764
440.00,0.765
439.00,0.766
438.00,0.767
437.00,0.768
436.00,0.769
435.00,0.770
434.00,0.771
433.00,0.772
432.00,0.773
431.00,0.774
430.00,0.775
429.00,0.776
428.00,0.777
427.00,0.777
426.00,0.779
425.00,0.780
424.00,0.781
423.00,0.782
422.00,0.783
421.00,0.784
420.00,0.785
419.00,0.786
418.00,0.787
417.00,0.788
416.00,0.789
415.00,0.790
414.00,0.791
413.00,0.792
412.00,0.793
411.00,0.793
410.00,0.794
409.00,0.795
408.00,0.796
407.00,0.797
406.00,0.798
405.00,0.798
404.00,0.799
403.00,0.800
402.00,0.800
401.00,0.801
400.00,0.802
399.00,0.803
398.00,0.803
397.00,0.805
396.00,0.805
395.00,0.806
394.00,0.807
393.00,0.807
392.00,0.808
391.00,0.809
390.00,0.810
389.00,0.811
388.00,0.812
387.00,0.813
386.00,0.814
385.00,0.815
384.00,0.817
383.00,0.818
382.00,0.819
381.00,0.821
380.00,0.822
379.00,0.823
378.00,0.825
377.00,0.827
376.00,0.828
375.00,0.830
374.00,0.831
373.00,0.833
372.00,0.835
371.00,0.836
370.00,0.838
369.00,0.839
368.00,0.842
367.00,0.843
366.00,0.845
365.00,0.848
364.00,0.850
363.00,0.852
362.00,0.854
361.00,0.856
360.00,0.857
359.00,0.860
358.00,0.862
357.00,0.864
356.00,0.866
355.00,0.868
354.00,0.871
353.00,0.873
352.00,0.876
351.00,0.878
350.00,0.880
349.00,0.883
348.00,0.886
347.00,0.887
346.00,0.890
345.00,0.891
344.00,0.893
343.00,0.893
342.00,0.895
341.00,0.896
340.00,0.892
339.00,0.891
338.00,0.891
337.00,0.890
336.00,0.891
335.00,0.890
334.00,0.891
333.00,0.891
332.00,0.891
331.00,0.892
330.00,0.893
329.00,0.894
328.00,0.893
327.00,0.895
326.00,0.896
325.00,0.896
324.00,0.897
323.00,0.898
322.00,0.899
321.00,0.899
320.00,0.900
319.00,0.901
318.00,0.901
317.00,0.903
316.00,0.904
315.00,0.905
314.00,0.906
313.00,0.906
312.00,0.906
311.00,0.909
310.00,0.909
309.00,0.910
308.00,0.912
307.00,0.914
306.00,0.914
305.00,0.916
304.00,0.918
303.00,0.920
302.00,0.922
301.00,0.924
300.00,0.926
299.00,0.929
298.00,0.931
297.00,0.934
296.00,0.937
295.00,0.942
294.00,0.946
293.00,0.951
292.00,0.956
291.00,0.961
290.00,0.965
289.00,0.969
288.00,0.974
287.00,0.979
286.00,0.985
285.00,0.990
284.00,0.996
283.00,1.002
282.00,1.007
281.00,1.011
280.00,1.018
279.00,1.023
278.00,1.029
277.00,1.034
276.00,1.040
275.00,1.046
274.00,1.051
273.00,1.055
272.00,1.061
271.00,1.065
270.00,1.069
269.00,1.072
268.00,1.076
267.00,1.079
266.00,1.082
265.00,1.084
264.00,1.087
263.00,1.087
262.00,1.089
261.00,1.090
260.00,1.091
259.00,1.091
258.00,1.091
257.00,1.091
256.00,1.090
255.00,1.089
254.00,1.087
253.00,1.086
252.00,1.084
251.00,1.082
250.00,1.079
249.00,1.077
248.00,1.074
247.00,1.072
246.00,1.069
245.00,1.068
244.00,1.067
243.00,1.067
242.00,1.067
241.00,1.068
240.00,1.071
239.00,1.075
238.00,1.081
237.00,1.088
236.00,1.098
235.00,1.109
234.00,1.122
233.00,1.137
232.00,1.155
231.00,1.172
230.00,1.191
229.00,1.209
228.00,1.227
227.00,1.244
226.00,1.262
225.00,1.280
224.00,1.298
223.00,1.316
222.00,1.337
221.00,1.357
220.00,1.379
219.00,1.401
218.00,1.425
217.00,1.451
216.00,1.476
215.00,1.503
214.00,1.527
213.00,1.553
212.00,1.572
211.00,1.596
210.00,1.618
209.00,1.621
208.00,1.623
207.00,1.611
206.00,1.590
205.00,1.542
204.00,1.458
203.00,1.346
202.00,1.213
201.00,1.020
200.00,0.823
199.00,0.661
198.00,0.599
197.00,0.512
196.00,0.506
195.00,0.501
194.00,0.579
193.00,0.689
192.00,0.760
191.00,1.690
190.00,0.519
